,Pareto number,Solar ($),Wind ($),CHP ($),Boilers ($),Battery ($),Operating Cost ($),Operating Emissions (kg CO2),Total Capital Cost ($)
0,0,44094.86964266667,0.0,0,81760.73374711248,0.0,6217373.649616775,178724027.85626596,125855.6033897791
0,1,1705651.9929920002,51144.1344,0,81760.73374711248,452652.705,5689020.690058997,145795461.60468626,2291209.566139113
0,2,1689652.9694933335,85240.224,0,81760.73374711248,241414.776,5696797.67354153,146272246.0255446,2098068.703240446
0,3,1693164.9502613337,17048.0448,0,81760.73374711248,0.0,5702691.450164634,146622477.18859977,1791973.7288084468
0,4,1690043.1895786668,34096.0896,0,81760.73374711248,452652.705,5693636.662274734,146083672.8079917,2258552.7179257795
0,5,1020425.5231466668,17048.0448,0,81760.73374711248,0.0,5901437.805074542,159042695.88328567,1119234.3016937794
0,6,1449667.6170133336,0.0,0,81760.73374711248,0.0,5771530.961126111,150927117.87584996,1531428.350760446
0,7,1176903.7773653334,17048.0448,0,81760.73374711248,0.0,5853406.095471788,156048814.33956987,1275712.5559124462
0,8,323102.230656,0.0,0,81760.73374711248,0.0,6127014.097551056,173095097.40704027,404862.9644031124
0,9,1503127.7687040002,0.0,0,81760.73374711248,0.0,5755815.194521359,149943909.62322715,1584888.5024511125
0,10,1677946.3669333335,0.0,0,81760.73374711248,0.0,5706909.517735105,146887011.0110771,1759707.1006804463
0,11,844436.2646613334,0.0,0,81760.73374711248,0.0,5958174.4310338525,162577263.7284873,926196.9984084461
0,12,1075056.3350933334,0.0,0,81760.73374711248,0.0,5884655.6721695205,157996650.6570689,1156817.068840446
0,13,628644.5574720001,0.0,0,81760.73374711248,0.0,6028060.909764401,166930828.1178884,710405.2912191125
0,14,170135.95720533334,0.0,0,81760.73374711248,0.0,6176553.879942331,176181168.3666158,251896.69095244538
0,15,375781.94217600004,0.0,0,81760.73374711248,0.0,6109953.203105082,172032292.35718665,457542.6759231128
0,16,1604194.7708053335,17048.0448,0,81760.73374711248,0.0,5727336.18844816,148165480.68129343,1703003.5493524456
0,17,975550.2133333335,0.0,0,81760.73374711248,0.0,5915711.760412761,159932060.04885125,1057310.9470804455
0,18,778098.8501546668,0.0,0,81760.73374711248,0.0,5979658.52033619,163915610.8283032,859859.5839017797
0,19,1131248.0273813335,0.0,0,81760.73374711248,0.0,5867439.70297045,156923533.33419567,1213008.761128446
0,20,742979.0424746666,0.0,0,81760.73374711248,0.0,5991032.44996684,164624147.52820575,824739.7762217792
0,21,1537467.1362133336,0.0,0,81760.73374711248,0.0,5746131.723396658,149339211.2157663,1619227.869960446
0,22,700445.0531733334,0.0,0,81760.73374711248,0.0,6004807.542519519,165482264.1980877,782205.786920446
0,23,126431.30764800002,0.0,0,81760.73374711248,0.0,6190708.103482695,177062902.9264945,208192.04139511287
0,24,75702.69655466668,0.0,0,81760.73374711248,0.0,6207137.112949192,178086344.82635367,157463.43030177895
0,25,850289.5659413334,17048.0448,0,81760.73374711248,0.0,5956231.221575413,162456244.65392196,949098.3444884457
0,26,904920.3778880002,0.0,0,81760.73374711248,0.0,5938585.996669957,161357006.07865524,986681.1116351131
0,27,1223730.1876053335,0.0,0,81760.73374711248,0.0,5839105.086996974,155157361.07363358,1305490.921352446
0,28,1574538.04432,0.0,0,81760.73374711248,0.0,5735715.110938836,148688700.45760992,1656298.778067113
0,29,469044.54257066676,17048.0448,0,81760.73374711248,0.0,6079701.546565913,170147804.16286373,567853.3211177792
0,30,204475.32471466667,0.0,0,81760.73374711248,0.0,6165432.704303471,175488376.92671108,286236.0584617788
0,31,1337284.2324373336,0.0,0,81760.73374711248,0.0,5804969.497152693,153022379.58096713,1419044.9661844457
0,32,438217.1558293334,17048.0448,0,81760.73374711248,0.0,6089685.329241707,170769741.93277812,537025.9343764456
0,33,1103542.4013226666,17048.0448,0,81760.73374711248,0.0,5875882.499703911,157449828.62220988,1202351.1798697794
0,34,1402841.2067733335,0.0,0,81760.73374711248,0.0,5785463.6844705185,151800143.58631548,1484601.9405204458
0,35,1354453.916192,0.0,0,81760.73374711248,0.0,5799860.831926408,152702270.15379637,1436214.6499391124
0,36,494408.84811733343,17048.0448,0,81760.73374711248,0.0,6071487.041832665,169636083.21293414,593217.6266644457
0,37,104578.98286933335,0.0,0,81760.73374711248,0.0,6197785.21525288,177503770.20643377,186339.71661644615
0,38,288372.6430613334,0.0,0,81760.73374711248,0.0,6138261.65018581,173795761.47694394,370133.3768084459
0,39,672349.2070293335,0.0,0,81760.73374711248,0.0,6013906.686224038,166049093.55800968,754109.9407764459
0,40,1297091.5636480001,0.0,0,81760.73374711248,0.0,5816928.418023311,153771726.64911664,1378852.297395113
0,41,424169.2327573334,0.0,0,81760.73374711248,0.0,6094282.455613963,171056086.23732084,505929.96650444623
0,42,399975.58746666677,0.0,0,81760.73374711248,0.0,6102117.829359523,171544189.29725373,481736.32121377904
0,43,593134.5297066667,0.0,0,81760.73374711248,0.0,6039561.216390948,167647237.44778982,674895.2634537788
0,44,1393475.9247253335,0.0,0,81760.73374711248,0.0,5788250.2291394025,151974748.72840858,1475236.6584724458
0,45,246228.87384533338,0.0,0,81760.73374711248,0.0,6151910.365742589,174646005.51682696,327989.6075924458
0,46,1287336.0615146668,0.0,0,81760.73374711248,0.0,5819831.06872006,153953607.0054636,1369096.7952617789
0,47,1254947.794432,0.0,0,81760.73374711248,0.0,5829540.659664158,154561184.78314847,1336708.5281791128
0,48,1596780.5891840002,0.0,0,81760.73374711248,0.0,5729465.143464141,148298394.002716,1678541.3229311127
0,49,943942.3864213334,17048.0448,0,81760.73374711248,0.0,5925900.74256035,160566813.45418188,1042751.1649684459
