,Pareto number,Solar ($),Wind ($),CHP ($),Boilers ($),Battery ($),Operating Cost ($),Operating Emissions (kg CO2),Total Capital Cost ($)
0,0,1728284.7579413338,1187032.1400000001,0,81760.73374711248,392299.011,5675828.219347013,397159396.18333334,3389376.6426884476
0,1,1560.8803413333337,0.0,0,81760.73374711248,0.0,6231148.74216945,516486486.28717995,83321.6140884459
0,2,1727504.317770667,791354.76,0,81760.73374711248,271591.623,5680745.038971776,398178243.2202847,2872211.4345177803
0,3,1730235.8583680002,34096.0896,0,81760.73374711248,452652.705,5681868.0375695815,398440359.37526655,2298745.386715113
0,4,1727504.317770667,1187032.1400000001,0,81760.73374711248,271591.623,5678269.474522261,397652360.5955235,3267888.8145177793
0,5,1727894.5378560002,51144.1344,0,81760.73374711248,150884.23500000002,5688141.843070869,399713195.7304889,2011683.6410031132
0,6,169355.5170346667,0.0,0,81760.73374711248,0.0,6176806.633934124,504813276.28878623,251116.25078177918
0,7,87409.29911466668,0.0,0,81760.73374711248,0.0,6203345.803072304,510514146.28800184,169170.03286177944
0,8,650496.8822506667,34096.0896,0,81760.73374711248,0.0,6020888.688954224,471320820.9859311,766353.7055977788
0,9,1267434.8371626667,0.0,0,81760.73374711248,0.0,5825752.476141435,429391653.20533025,1349195.5709097795
0,10,1707993.3135040004,17048.0448,0,81760.73374711248,30176.847,5697585.055585452,401734709.279274,1836978.939051113
0,11,1373574.7003733336,0.0,0,81760.73374711248,0.0,5794171.636560775,422568003.974106,1455335.4341204464
0,12,957209.8693226667,0.0,0,81760.73374711248,0.0,5921651.479219879,450003483.29632646,1038970.6030697795
0,13,295396.60459733335,17048.0448,0,81760.73374711248,0.0,6135939.309739682,496034693.1362624,394205.3831444457
0,14,746881.2433280001,0.0,0,81760.73374711248,0.0,5989768.680007879,464635716.29431343,828641.977075113
0,15,619279.2754240001,0.0,0,81760.73374711248,0.0,6031093.95766591,473512785.29309225,701040.0091711124
0,16,1433278.3734293333,0.0,0,81760.73374711248,0.0,5776407.414296656,418729701.2815424,1515039.1071764464
0,17,1652972.2814720003,34096.0896,0,81760.73374711248,0.0,5713665.3255823655,405206271.5604264,1768829.1048191125
0,18,225937.42940800003,0.0,0,81760.73374711248,0.0,6158481.969529188,500876961.2893275,307698.1631551124
0,19,1509371.2900693335,0.0,0,81760.73374711248,0.0,5754043.679816153,413904242.0246371,1591132.0238164458
0,20,249350.63452800002,0.0,0,81760.73374711248,0.0,6150899.349775421,499248141.28955185,331111.3682751125
0,21,392951.6259306667,0.0,0,81760.73374711248,0.0,6104392.615285652,489258045.29092604,474712.3596777795
0,22,1469178.62128,0.0,0,81760.73374711248,0.0,5765725.659732607,416421702.2768634,1550939.3550271122
0,23,1123833.8457600002,0.0,0,81760.73374711248,0.0,5869711.254461993,438841592.0700698,1205594.5795071125
0,24,798000.0745066667,17048.0448,0,81760.73374711248,0.0,5973165.739025491,461069357.1410728,896808.8530537793
0,25,1728674.978026667,34096.0896,0,81760.73374711248,362122.164,5683411.547962311,398770193.25290745,2206653.9653737796
0,26,1078958.535946667,0.0,0,81760.73374711248,0.0,5883460.118752919,441796776.26859516,1160719.2696937798
0,27,846777.5851733334,0.0,0,81760.73374711248,0.0,5957416.1690584775,457686084.2952698,928538.3189204456
0,28,38631.788448,0.0,0,81760.73374711248,0.0,6219142.927559322,513907521.28753495,120392.52219511289
0,29,1727504.317770667,0.0,0,81760.73374711248,301768.47000000003,5685049.199278132,399102475.3073419,2111033.5215177797
0,30,1546051.978090667,17048.0448,0,81760.73374711248,0.0,5743673.822724115,411671351.53959846,1644860.75663778
0,31,528748.2156266668,17048.0448,0,81760.73374711248,0.0,6060365.866193808,479800787.13849574,627556.9941737792
0,32,1017693.9825493332,0.0,0,81760.73374711248,0.0,5902343.30027566,445855258.5130241,1099454.7162964456
0,33,1052813.7902293333,0.0,0,81760.73374711248,0.0,5891470.326644154,443518492.27990997,1134574.5239764461
0,34,1692774.7301760002,34096.0896,0,81760.73374711248,0.0,5702752.803154222,402845908.1144523,1808631.553523113
0,35,865898.3693546668,17048.0448,0,81760.73374711248,0.0,5951176.141739571,456345779.1417227,964707.147901779
0,36,1381379.10208,0.0,0,81760.73374711248,0.0,5791849.516003373,422066265.0600455,1463139.8358271131
0,37,1728284.7579413338,1187032.1400000001,0,81760.73374711248,301768.47000000003,5677402.2440801,397477081.1622957,3298846.1016884465
0,38,472946.74342400004,51144.1344,0,81760.73374711248,0.0,6078342.667566955,483662603.830502,605851.6115711126
0,39,1578440.2451733337,0.0,0,81760.73374711248,0.0,5734618.625416958,409721248.75205576,1660200.9789204458
0,40,918578.0808746668,0.0,0,81760.73374711248,0.0,5934162.801813594,452691036.29595685,1000338.8146217791
0,41,1199536.5423146668,0.0,0,81760.73374711248,0.0,5846517.518179911,433856324.81342703,1281297.2760617798
0,42,1603414.3306346668,0.0,0,81760.73374711248,30176.847,5726602.894497544,407999238.73707104,1715351.9113817792
0,43,447192.21779200004,0.0,0,81760.73374711248,0.0,6086826.212856093,485484612.2914451,528952.9515391123
0,44,348856.75628800003,0.0,0,81760.73374711248,0.0,6118673.215821914,492325656.29050404,430617.49003511295
0,45,472946.74342400004,17048.0448,0,81760.73374711248,0.0,6078437.776606951,483682808.13796186,571755.5219711121
0,46,1223339.9675200002,0.0,0,81760.73374711248,0.0,5839224.642338638,432288792.3255137,1305100.701267113
0,47,343393.6750933334,0.0,0,81760.73374711248,0.0,6120442.493764458,492705714.2904517,425154.4088404458
0,48,904139.9377173336,0.0,0,81760.73374711248,0.0,5938838.750661748,453695475.29581845,985900.671464446
0,49,1160904.753866667,17048.0448,0,81760.73374711248,0.0,5858307.864479857,436390659.26061326,1259713.5324137798
