,Pareto number,Cost ($),Emission (kg CO2)
0,0,6313414.9839001475,41973328.8772756
0,1,6313414.9839001475,41973328.8772756
0,2,6313414.9839001475,41973328.8772756
0,3,6313414.9839001475,41973328.8772756
0,4,6313414.9839001475,41973328.8772756
0,5,6313414.9839001475,41973328.8772756
0,6,6313414.9839001475,41973328.8772756
0,7,6313414.9839001475,41973328.8772756
0,8,6313414.9839001475,41973328.8772756
0,9,6313414.9839001475,41973328.8772756
0,10,6313414.9839001475,41973328.8772756
0,11,6313414.9839001475,41973328.8772756
0,12,6313414.9839001475,41973328.8772756
0,13,6313414.9839001475,41973328.8772756
0,14,6313414.9839001475,41973328.8772756
0,15,6313414.9839001475,41973328.8772756
0,16,6313414.9839001475,41973328.8772756
0,17,6313414.9839001475,41973328.8772756
0,18,6313414.9839001475,41973328.8772756
0,19,6313414.9839001475,41973328.8772756
0,20,6313414.9839001475,41973328.8772756
0,21,6313414.9839001475,41973328.8772756
0,22,6313414.9839001475,41973328.8772756
0,23,6313414.9839001475,41973328.8772756
0,24,6313414.9839001475,41973328.8772756
0,25,6313414.9839001475,41973328.8772756
0,26,6313414.9839001475,41973328.8772756
0,27,6313414.9839001475,41973328.8772756
0,28,6313414.9839001475,41973328.8772756
0,29,6313414.9839001475,41973328.8772756
0,30,6313414.9839001475,41973328.8772756
0,31,6313414.9839001475,41973328.8772756
0,32,6313414.9839001475,41973328.8772756
0,33,6313414.9839001475,41973328.8772756
0,34,6313414.9839001475,41973328.8772756
0,35,6313414.9839001475,41973328.8772756
0,36,6313414.9839001475,41973328.8772756
0,37,6313414.9839001475,41973328.8772756
0,38,6313414.9839001475,41973328.8772756
0,39,6313414.9839001475,41973328.8772756
0,40,6313414.9839001475,41973328.8772756
0,41,6313414.9839001475,41973328.8772756
0,42,6313414.9839001475,41973328.8772756
0,43,6313414.9839001475,41973328.8772756
0,44,6313414.9839001475,41973328.8772756
0,45,6313414.9839001475,41973328.8772756
0,46,6313414.9839001475,41973328.8772756
0,47,6313414.9839001475,41973328.8772756
0,48,6313414.9839001475,41973328.8772756
0,49,6313414.9839001475,41973328.8772756
